nid,glocation,pub_date,year,month,weekday
2,Louisiana,2015-01-01,2015,January,Thursday
3,United States,2015-01-01,2015,January,Thursday
5,Boston (Mass),2015-01-01,2015,January,Thursday
6,Killeen (Tex),2015-01-01,2015,January,Thursday
11,"East Village (Manhattan, NY)",2015-01-01,2015,January,Thursday
12,Naples (Fla),2015-01-01,2015,January,Thursday
13,Europe,2015-01-01,2015,January,Thursday
17,Japan,2015-01-01,2015,January,Thursday
18,Dagestan (Russia),2015-01-01,2015,January,Thursday
21,Turkey,2015-01-02,2015,January,Friday
23,Las Cruces (NM),2015-01-02,2015,January,Friday
24,Peachtree City (Ga),2015-01-02,2015,January,Friday
25,Boston (Mass),2015-01-02,2015,January,Friday
35,United States,2015-01-02,2015,January,Friday
36,Europe,2015-01-02,2015,January,Friday
37,Virginia,2015-01-02,2015,January,Friday
39,Pennsylvania,2015-01-02,2015,January,Friday
40,United States,2015-01-02,2015,January,Friday
42,ANTARCTIC REGIONS,2015-01-02,2015,January,Friday
55,New Zealand,2015-01-02,2015,January,Friday
56,Europe,2015-01-03,2015,January,Saturday
59,Boston (Mass),2015-01-03,2015,January,Saturday
60,Kentucky,2015-01-03,2015,January,Saturday
61,Michigan,2015-01-03,2015,January,Saturday
62,Colorado,2015-01-03,2015,January,Saturday
72,United States,2015-01-03,2015,January,Saturday
73,Boston (Mass),2015-01-03,2015,January,Saturday
75,United States,2015-01-03,2015,January,Saturday
76,Florida,2015-01-04,2015,January,Sunday
89,Nebraska,2015-01-04,2015,January,Sunday
92,United States,2015-01-04,2015,January,Sunday
97,Louisiana,2015-01-05,2015,January,Monday
99,Cape Canaveral (Fla),2015-01-05,2015,January,Monday
103,Vernon (Vt),2015-01-05,2015,January,Monday
105,Pennsylvania,2015-01-05,2015,January,Monday
107,Las Vegas (Nev),2015-01-05,2015,January,Monday
108,Boston (Mass),2015-01-05,2015,January,Monday
111,United States,2015-01-05,2015,January,Monday
112,France,2015-01-05,2015,January,Monday
113,Gilbert (Ariz),2015-01-05,2015,January,Monday
128,Ferguson (Mo),2015-01-05,2015,January,Monday
129,Quebec Province (Canada),2015-01-05,2015,January,Monday
135,Indonesia,2015-01-05,2015,January,Monday
136,Iceland,2015-01-05,2015,January,Monday
138,Botswana,2015-01-05,2015,January,Monday
140,Cambridge (Mass),2015-01-05,2015,January,Monday
143,Wisconsin,2015-01-05,2015,January,Monday
145,Europe,2015-01-05,2015,January,Monday
146,California,2015-01-05,2015,January,Monday
151,ARGENTINA,2015-01-05,2015,January,Monday
154,Florida,2015-01-05,2015,January,Monday
155,Illinois,2015-01-05,2015,January,Monday
156,Europe,2015-01-06,2015,January,Tuesday
157,"Mission District (San Francisco, Calif)",2015-01-06,2015,January,Tuesday
158,United States,2015-01-06,2015,January,Tuesday
159,Pennsylvania,2015-01-06,2015,January,Tuesday
161,Guantanamo Bay Naval Base (Cuba),2015-01-06,2015,January,Tuesday
162,United States,2015-01-06,2015,January,Tuesday
169,Great Britain,2015-01-06,2015,January,Tuesday
172,Virginia,2015-01-06,2015,January,Tuesday
174,Portugal,2015-01-06,2015,January,Tuesday
183,United States,2015-01-06,2015,January,Tuesday
185,Worcester (Mass),2015-01-06,2015,January,Tuesday
186,Florida,2015-01-06,2015,January,Tuesday
190,United States,2015-01-06,2015,January,Tuesday
199,Houston (Tex),2015-01-06,2015,January,Tuesday
200,New York City,2015-01-06,2015,January,Tuesday
203,El Paso (Tex),2015-01-06,2015,January,Tuesday
204,Great Britain,2015-01-07,2015,January,Wednesday
205,United States,2015-01-07,2015,January,Wednesday
207,Atlanta (Ga),2015-01-07,2015,January,Wednesday
208,Moab (Utah),2015-01-07,2015,January,Wednesday
209,Ferguson (Mo),2015-01-07,2015,January,Wednesday
212,Washington (DC),2015-01-07,2015,January,Wednesday
213,San Francisco (Calif),2015-01-07,2015,January,Wednesday
215,United States,2015-01-07,2015,January,Wednesday
219,Greece,2015-01-07,2015,January,Wednesday
224,New England States (US),2015-01-07,2015,January,Wednesday
225,South Carolina,2015-01-07,2015,January,Wednesday
236,United States,2015-01-07,2015,January,Wednesday
242,United States,2015-01-07,2015,January,Wednesday
243,Texas,2015-01-07,2015,January,Wednesday
244,North Korea,2015-01-07,2015,January,Wednesday
247,China,2015-01-07,2015,January,Wednesday
250,Nantucket Sound (Mass),2015-01-08,2015,January,Thursday
251,Mississippi,2015-01-08,2015,January,Thursday
255,Massachusetts,2015-01-08,2015,January,Thursday
257,California,2015-01-08,2015,January,Thursday
258,El Paso (Tex),2015-01-08,2015,January,Thursday
260,Oklahoma,2015-01-08,2015,January,Thursday
262,South Korea,2015-01-08,2015,January,Thursday
268,Rhode Island,2015-01-08,2015,January,Thursday
269,Hong Kong,2015-01-08,2015,January,Thursday
270,United States,2015-01-08,2015,January,Thursday
271,Spain,2015-01-08,2015,January,Thursday
279,Spain,2015-01-08,2015,January,Thursday
284,San Francisco (Calif),2015-01-08,2015,January,Thursday
285,California,2015-01-08,2015,January,Thursday
287,United States,2015-01-08,2015,January,Thursday
289,Vermont,2015-01-08,2015,January,Thursday
291,Detroit (Mich),2015-01-08,2015,January,Thursday
293,London (England),2015-01-08,2015,January,Thursday
294,Great Britain,2015-01-08,2015,January,Thursday
295,Spain,2015-01-08,2015,January,Thursday
296,Phoenix (Ariz),2015-01-08,2015,January,Thursday
297,United States,2015-01-08,2015,January,Thursday
298,California,2015-01-08,2015,January,Thursday
299,California,2015-01-08,2015,January,Thursday
301,Georgia,2015-01-08,2015,January,Thursday
304,Cleveland (Ohio),2015-01-08,2015,January,Thursday
306,Liberia,2015-01-08,2015,January,Thursday
312,Ohio,2015-01-09,2015,January,Friday
313,Kansas,2015-01-09,2015,January,Friday
314,Canada,2015-01-09,2015,January,Friday
315,West Virginia,2015-01-09,2015,January,Friday
316,Greece,2015-01-09,2015,January,Friday
317,New York State,2015-01-09,2015,January,Friday
319,Colorado Springs (Colo),2015-01-09,2015,January,Friday
321,China,2015-01-09,2015,January,Friday
323,South Carolina,2015-01-09,2015,January,Friday
324,United States,2015-01-09,2015,January,Friday
326,Hong Kong,2015-01-09,2015,January,Friday
327,Bermuda,2015-01-09,2015,January,Friday
338,United States,2015-01-09,2015,January,Friday
339,Nebraska,2015-01-09,2015,January,Friday
343,Great Britain,2015-01-09,2015,January,Friday
344,Baltimore (Md),2015-01-09,2015,January,Friday
346,United States,2015-01-09,2015,January,Friday
352,Las Vegas (Nev),2015-01-09,2015,January,Friday
354,Seattle (Wash),2015-01-09,2015,January,Friday
361,Tennessee,2015-01-09,2015,January,Friday
375,Hobbs (NM),2015-01-10,2015,January,Saturday
377,South Carolina,2015-01-10,2015,January,Saturday
378,Middle East,2015-01-10,2015,January,Saturday
380,Kenya,2015-01-10,2015,January,Saturday
381,Oklahoma,2015-01-10,2015,January,Saturday
382,Hyattsville (Md),2015-01-10,2015,January,Saturday
384,Nashville (Tenn),2015-01-10,2015,January,Saturday
388,Cape Canaveral (Fla),2015-01-10,2015,January,Saturday
390,Illinois,2015-01-10,2015,January,Saturday
392,Florida,2015-01-10,2015,January,Saturday
393,Florida,2015-01-10,2015,January,Saturday
394,Baltimore (Md),2015-01-10,2015,January,Saturday
397,Philadelphia (Pa),2015-01-11,2015,January,Sunday
413,Silicon Valley (Calif),2015-01-11,2015,January,Sunday
416,Hong Kong,2015-01-12,2015,January,Monday
418,Italy,2015-01-12,2015,January,Monday
420,Atlanta (Ga),2015-01-12,2015,January,Monday
421,United States,2015-01-12,2015,January,Monday
427,San Francisco (Calif),2015-01-12,2015,January,Monday
434,AMSTERDAM (NETHERLANDS),2015-01-12,2015,January,Monday
435,Dublin (Ireland),2015-01-12,2015,January,Monday
437,Silicon Valley (Calif),2015-01-12,2015,January,Monday
445,London (England),2015-01-12,2015,January,Monday
446,South Carolina,2015-01-12,2015,January,Monday
448,China,2015-01-12,2015,January,Monday
449,Charlottesville (Va),2015-01-12,2015,January,Monday
455,United States,2015-01-12,2015,January,Monday
460,Washington (State),2015-01-12,2015,January,Monday
466,Russia,2015-01-12,2015,January,Monday
468,Puerto Rico,2015-01-12,2015,January,Monday
472,Gilbert (Ariz),2015-01-12,2015,January,Monday
478,South Sudan,2015-01-12,2015,January,Monday
480,ALBUQUERQUE (NM),2015-01-12,2015,January,Monday
490,West Virginia,2015-01-13,2015,January,Tuesday
494,Oklahoma,2015-01-13,2015,January,Tuesday
495,China,2015-01-13,2015,January,Tuesday
496,France,2015-01-13,2015,January,Tuesday
501,Washington (DC),2015-01-13,2015,January,Tuesday
502,South Carolina,2015-01-13,2015,January,Tuesday
504,Great Britain,2015-01-13,2015,January,Tuesday
510,Aurora (Colo),2015-01-13,2015,January,Tuesday
514,United States,2015-01-13,2015,January,Tuesday
515,Yemen,2015-01-13,2015,January,Tuesday
517,United States,2015-01-13,2015,January,Tuesday
518,United States,2015-01-13,2015,January,Tuesday
