nid,country,country_ISO_code,state,US_state_code,year,month,weekday,headline_score,article_score
2,United States,USA,Louisiana,LA,2015,January,Thursday,0.0,0.128
3,United States,USA,,,2015,January,Thursday,0.29600000000000004,-0.0516
5,United States,USA,Massachusetts,MA,2015,January,Thursday,0.0,-0.29145
6,United States,USA,Texas,TX,2015,January,Thursday,0.0,-0.6705
11,United States,USA,New York,NY,2015,January,Thursday,0.0,0.5859
12,United States,USA,Florida,FL,2015,January,Thursday,0.0,0.41895
17,Japan,JPN,,,2015,January,Thursday,0.5106,0.5106
18,Russia,RUS,Republic of Dagestan,,2015,January,Thursday,0.0,-0.47785
21,Turkey,TUR,,,2015,January,Friday,0.7096,-0.4096
23,United States,USA,New Mexico,NM,2015,January,Friday,0.4404,-0.38645
24,United States,USA,Georgia,GA,2015,January,Friday,-0.0516,-0.51705
25,United States,USA,Massachusetts,MA,2015,January,Friday,0.3612,-0.3182
35,United States,USA,,,2015,January,Friday,0.0,0.7096
37,United States,USA,Virginia,VA,2015,January,Friday,-0.3818,-0.8316
39,United States,USA,Pennsylvania,PA,2015,January,Friday,0.25,0.0
40,United States,USA,,,2015,January,Friday,0.0516,0.0098
42,Antarctica,ATA,,,2015,January,Friday,0.0,0.5719
55,New Zealand,NZL,,,2015,January,Friday,0.34,0.4767
59,United States,USA,Massachusetts,MA,2015,January,Saturday,0.0,0.06135
60,United States,USA,Kentucky,KY,2015,January,Saturday,-0.802,-0.802
61,United States,USA,Michigan,MI,2015,January,Saturday,0.0,0.3818
62,United States,USA,Colorado,CO,2015,January,Saturday,0.0,-0.7351
72,United States,USA,,,2015,January,Saturday,-0.6486,0.5994
73,United States,USA,Massachusetts,MA,2015,January,Saturday,-0.6249,-0.6597
75,United States,USA,,,2015,January,Saturday,0.0,-0.0772
76,United States,USA,Florida,FL,2015,January,Sunday,0.0,-0.4215
89,United States,USA,Nebraska,NE,2015,January,Sunday,-0.0772,0.2732
92,United States,USA,,,2015,January,Sunday,0.0,0.0
97,United States,USA,Louisiana,LA,2015,January,Monday,0.2732,0.3612
99,United States,USA,Florida,FL,2015,January,Monday,0.0,0.0
103,United States,USA,Vermont,VT,2015,January,Monday,0.0,-0.5423
105,United States,USA,Pennsylvania,PA,2015,January,Monday,0.0,0.0
107,United States,USA,Nevada,NV,2015,January,Monday,0.0,0.6486
108,United States,USA,Massachusetts,MA,2015,January,Monday,0.0,0.0772
111,United States,USA,,,2015,January,Monday,-0.5574,-0.6124
112,France,FRA,,,2015,January,Monday,-0.1027,0.0258
113,United States,USA,Arizona,AZ,2015,January,Monday,0.5574,0.5638
128,United States,USA,Missouri,MO,2015,January,Monday,0.4588,0.5267
129,Canada,CAN,Quebec,,2015,January,Monday,0.0,0.6576
135,Indonesia,IDN,,,2015,January,Monday,0.0,0.0
136,Iceland,ISL,,,2015,January,Monday,-0.29600000000000004,0.0
138,Botswana,BWA,,,2015,January,Monday,0.4019,-0.4902
140,United States,USA,Massachusetts,MA,2015,January,Monday,0.0,0.2144
143,United States,USA,Wisconsin,WI,2015,January,Monday,-0.3818,0.2023
146,United States,USA,California,CA,2015,January,Monday,0.5719,-0.25
151,Argentina,ARG,,,2015,January,Monday,-0.6369,0.1779
154,United States,USA,Florida,FL,2015,January,Monday,-0.5574,-0.6486
155,United States,USA,Illinois,IL,2015,January,Monday,0.0,0.6705
157,United States,USA,California,CA,2015,January,Tuesday,-0.9081,-0.8859999999999999
158,United States,USA,,,2015,January,Tuesday,-0.3612,0.2617
159,United States,USA,Pennsylvania,PA,2015,January,Tuesday,-0.6597,-0.7717
161,Cuba,CUB,,,2015,January,Tuesday,0.0,-0.204
162,United States,USA,,,2015,January,Tuesday,0.0,0.7964
169,United Kingdom,GBR,,,2015,January,Tuesday,0.0,-0.3612
172,United States,USA,Virginia,VA,2015,January,Tuesday,-0.0258,-0.6705
174,Portugal,PRT,,,2015,January,Tuesday,0.0,-0.743
183,United States,USA,,,2015,January,Tuesday,0.0,-0.4215
185,United States,USA,Massachusetts,MA,2015,January,Tuesday,0.0,0.3182
186,United States,USA,Florida,FL,2015,January,Tuesday,0.6124,0.34
190,United States,USA,,,2015,January,Tuesday,-0.8074,-0.8271
199,United States,USA,Texas,TX,2015,January,Tuesday,0.2732,0.2732
200,United States,USA,New York,NY,2015,January,Tuesday,0.1326,0.22885
203,United States,USA,Texas,TX,2015,January,Tuesday,-0.6486,-0.4019
204,United Kingdom,GBR,,,2015,January,Wednesday,-0.6249,-0.6249
205,United States,USA,,,2015,January,Wednesday,0.0,0.6486
207,United States,USA,Georgia,GA,2015,January,Wednesday,-0.34,-0.6486
208,United States,USA,Utah,UT,2015,January,Wednesday,-0.4588,-0.2663
209,United States,USA,Missouri,MO,2015,January,Wednesday,0.0,0.30405
212,United States,USA,District of Columbia,DC,2015,January,Wednesday,0.0,0.3612
213,United States,USA,California,CA,2015,January,Wednesday,-0.29600000000000004,-0.6124
215,United States,USA,,,2015,January,Wednesday,0.0,0.0
219,Greece,GRC,,,2015,January,Wednesday,-0.4404,0.1027
224,United States,USA,,,2015,January,Wednesday,0.0,0.0
225,United States,USA,South Carolina,SC,2015,January,Wednesday,-0.3182,0.8316
236,United States,USA,,,2015,January,Wednesday,0.3182,0.128
242,United States,USA,,,2015,January,Wednesday,0.0,-0.2023
243,United States,USA,Texas,TX,2015,January,Wednesday,0.0,-0.4588
244,North Korea,,,,2015,January,Wednesday,-0.2975,-0.8807
247,China,CHN,,,2015,January,Wednesday,0.0,0.3612
250,United States,USA,Massachusetts,MA,2015,January,Thursday,0.0,-0.6249
251,United States,USA,Mississippi,MS,2015,January,Thursday,-0.7579,-0.9062
255,United States,USA,Massachusetts,MA,2015,January,Thursday,0.0,-0.11
257,United States,USA,California,CA,2015,January,Thursday,-0.5574,-0.317985714
258,United States,USA,Texas,TX,2015,January,Thursday,0.3818,-0.27945
260,United States,USA,Oklahoma,OK,2015,January,Thursday,-0.1045,0.25
262,South Korea,,,,2015,January,Thursday,-0.2732,0.34
268,United States,USA,Rhode Island,RI,2015,January,Thursday,0.0,0.0
269,Hong Kong,HKG,,,2015,January,Thursday,0.0,-0.2732
270,United States,USA,,,2015,January,Thursday,-0.4404,0.743
271,Spain,ESP,,,2015,January,Thursday,0.0,0.2732
279,Spain,ESP,,,2015,January,Thursday,0.5574,0.0
284,United States,USA,California,CA,2015,January,Thursday,0.4588,-0.7003
285,United States,USA,California,CA,2015,January,Thursday,0.0,0.2023
287,United States,USA,,,2015,January,Thursday,-0.3818,0.2264
289,United States,USA,Vermont,VT,2015,January,Thursday,0.0,-0.7311
291,United States,USA,Michigan,MI,2015,January,Thursday,0.0,-0.5574
293,United Kingdom,GBR,England,,2015,January,Thursday,0.0,-0.5994
294,United Kingdom,GBR,,,2015,January,Thursday,0.6597,0.2023
295,Spain,ESP,,,2015,January,Thursday,0.0,-0.0839
296,United States,USA,Arizona,AZ,2015,January,Thursday,0.0772,0.2263
297,United States,USA,,,2015,January,Thursday,-0.7717,-0.41
298,United States,USA,California,CA,2015,January,Thursday,-0.4404,-0.8779
299,United States,USA,California,CA,2015,January,Thursday,0.0,0.5859
301,United States,USA,Georgia,GA,2015,January,Thursday,-0.2732,-0.4939
304,United States,USA,Ohio,OH,2015,January,Thursday,-0.29600000000000004,-0.7096
306,Liberia,LBR,,,2015,January,Thursday,0.0,0.4404
312,United States,USA,Ohio,OH,2015,January,Friday,-0.3182,-0.6597
313,United States,USA,Kansas,KS,2015,January,Friday,0.4588,0.4588
314,Canada,CAN,,,2015,January,Friday,0.0,0.268
315,United States,USA,West Virginia,WV,2015,January,Friday,0.0,-0.9042
316,Greece,GRC,,,2015,January,Friday,-0.0772,-0.29600000000000004
317,United States,USA,New York,NY,2015,January,Friday,-0.4588,-0.1531
319,United States,USA,Colorado,CO,2015,January,Friday,0.0,-0.4939
