nid,glocation,pub_date,year,month,weekday
2,Louisiana,2015-01-01,2015,January,Thursday
3,United States,2015-01-01,2015,January,Thursday
5,Boston (Mass),2015-01-01,2015,January,Thursday
6,Killeen (Tex),2015-01-01,2015,January,Thursday
11,"East Village (Manhattan, NY)",2015-01-01,2015,January,Thursday
12,Naples (Fla),2015-01-01,2015,January,Thursday
13,Europe,2015-01-01,2015,January,Thursday
17,Japan,2015-01-01,2015,January,Thursday
18,Dagestan (Russia),2015-01-01,2015,January,Thursday
21,Turkey,2015-01-01,2015,January,Thursday
23,Las Cruces (NM),2015-01-01,2015,January,Thursday
24,Peachtree City (Ga),2015-01-01,2015,January,Thursday
25,Boston (Mass),2015-01-01,2015,January,Thursday
35,United States,2015-01-01,2015,January,Thursday
36,Europe,2015-01-01,2015,January,Thursday
37,Virginia,2015-01-01,2015,January,Thursday
39,Pennsylvania,2015-01-01,2015,January,Thursday
40,United States,2015-01-01,2015,January,Thursday
42,ANTARCTIC REGIONS,2015-01-01,2015,January,Thursday
55,New Zealand,2015-01-01,2015,January,Thursday
56,Europe,2015-01-02,2015,January,Friday
59,Boston (Mass),2015-01-02,2015,January,Friday
60,Kentucky,2015-01-02,2015,January,Friday
61,Michigan,2015-01-02,2015,January,Friday
62,Colorado,2015-01-02,2015,January,Friday
72,United States,2015-01-02,2015,January,Friday
73,Boston (Mass),2015-01-02,2015,January,Friday
75,United States,2015-01-02,2015,January,Friday
76,Florida,2015-01-02,2015,January,Friday
89,Nebraska,2015-01-02,2015,January,Friday
92,United States,2015-01-02,2015,January,Friday
97,Louisiana,2015-01-02,2015,January,Friday
99,Cape Canaveral (Fla),2015-01-02,2015,January,Friday
103,Vernon (Vt),2015-01-02,2015,January,Friday
105,Pennsylvania,2015-01-02,2015,January,Friday
107,Las Vegas (Nev),2015-01-02,2015,January,Friday
108,Boston (Mass),2015-01-02,2015,January,Friday
111,United States,2015-01-02,2015,January,Friday
112,France,2015-01-02,2015,January,Friday
113,Gilbert (Ariz),2015-01-02,2015,January,Friday
128,Ferguson (Mo),2015-01-02,2015,January,Friday
129,Quebec Province (Canada),2015-01-02,2015,January,Friday
135,Indonesia,2015-01-02,2015,January,Friday
136,Iceland,2015-01-02,2015,January,Friday
138,Botswana,2015-01-02,2015,January,Friday
140,Cambridge (Mass),2015-01-02,2015,January,Friday
143,Wisconsin,2015-01-02,2015,January,Friday
145,Europe,2015-01-02,2015,January,Friday
146,California,2015-01-02,2015,January,Friday
151,ARGENTINA,2015-01-02,2015,January,Friday
154,Florida,2015-01-02,2015,January,Friday
155,Illinois,2015-01-02,2015,January,Friday
156,Europe,2015-01-02,2015,January,Friday
157,"Mission District (San Francisco, Calif)",2015-01-02,2015,January,Friday
158,United States,2015-01-02,2015,January,Friday
159,Pennsylvania,2015-01-03,2015,January,Saturday
161,Guantanamo Bay Naval Base (Cuba),2015-01-03,2015,January,Saturday
162,United States,2015-01-03,2015,January,Saturday
169,Great Britain,2015-01-03,2015,January,Saturday
172,Virginia,2015-01-03,2015,January,Saturday
174,Portugal,2015-01-03,2015,January,Saturday
183,United States,2015-01-03,2015,January,Saturday
185,Worcester (Mass),2015-01-03,2015,January,Saturday
186,Florida,2015-01-03,2015,January,Saturday
190,United States,2015-01-03,2015,January,Saturday
199,Houston (Tex),2015-01-03,2015,January,Saturday
200,New York City,2015-01-03,2015,January,Saturday
203,El Paso (Tex),2015-01-03,2015,January,Saturday
204,Great Britain,2015-01-03,2015,January,Saturday
205,United States,2015-01-03,2015,January,Saturday
207,Atlanta (Ga),2015-01-03,2015,January,Saturday
208,Moab (Utah),2015-01-03,2015,January,Saturday
209,Ferguson (Mo),2015-01-03,2015,January,Saturday
212,Washington (DC),2015-01-03,2015,January,Saturday
213,San Francisco (Calif),2015-01-03,2015,January,Saturday
215,United States,2015-01-04,2015,January,Sunday
219,Greece,2015-01-04,2015,January,Sunday
224,New England States (US),2015-01-04,2015,January,Sunday
225,South Carolina,2015-01-04,2015,January,Sunday
236,United States,2015-01-04,2015,January,Sunday
242,United States,2015-01-04,2015,January,Sunday
243,Texas,2015-01-04,2015,January,Sunday
244,North Korea,2015-01-04,2015,January,Sunday
247,China,2015-01-04,2015,January,Sunday
250,Nantucket Sound (Mass),2015-01-04,2015,January,Sunday
251,Mississippi,2015-01-04,2015,January,Sunday
255,Massachusetts,2015-01-04,2015,January,Sunday
257,California,2015-01-04,2015,January,Sunday
258,El Paso (Tex),2015-01-04,2015,January,Sunday
260,Oklahoma,2015-01-04,2015,January,Sunday
262,South Korea,2015-01-04,2015,January,Sunday
268,Rhode Island,2015-01-04,2015,January,Sunday
269,Hong Kong,2015-01-04,2015,January,Sunday
270,United States,2015-01-04,2015,January,Sunday
271,Spain,2015-01-04,2015,January,Sunday
279,Spain,2015-01-05,2015,January,Monday
284,San Francisco (Calif),2015-01-05,2015,January,Monday
285,California,2015-01-05,2015,January,Monday
287,United States,2015-01-05,2015,January,Monday
289,Vermont,2015-01-05,2015,January,Monday
291,Detroit (Mich),2015-01-05,2015,January,Monday
293,London (England),2015-01-05,2015,January,Monday
294,Great Britain,2015-01-05,2015,January,Monday
295,Spain,2015-01-05,2015,January,Monday
296,Phoenix (Ariz),2015-01-05,2015,January,Monday
297,United States,2015-01-05,2015,January,Monday
298,California,2015-01-05,2015,January,Monday
299,California,2015-01-05,2015,January,Monday
301,Georgia,2015-01-05,2015,January,Monday
304,Cleveland (Ohio),2015-01-05,2015,January,Monday
306,Liberia,2015-01-05,2015,January,Monday
312,Ohio,2015-01-05,2015,January,Monday
313,Kansas,2015-01-05,2015,January,Monday
314,Canada,2015-01-05,2015,January,Monday
315,West Virginia,2015-01-05,2015,January,Monday
316,Greece,2015-01-05,2015,January,Monday
317,New York State,2015-01-05,2015,January,Monday
319,Colorado Springs (Colo),2015-01-05,2015,January,Monday
321,China,2015-01-05,2015,January,Monday
323,South Carolina,2015-01-05,2015,January,Monday
324,United States,2015-01-05,2015,January,Monday
326,Hong Kong,2015-01-05,2015,January,Monday
327,Bermuda,2015-01-05,2015,January,Monday
338,United States,2015-01-05,2015,January,Monday
339,Nebraska,2015-01-05,2015,January,Monday
343,Great Britain,2015-01-05,2015,January,Monday
344,Baltimore (Md),2015-01-05,2015,January,Monday
346,United States,2015-01-05,2015,January,Monday
352,Las Vegas (Nev),2015-01-05,2015,January,Monday
354,Seattle (Wash),2015-01-05,2015,January,Monday
361,Tennessee,2015-01-05,2015,January,Monday
375,Hobbs (NM),2015-01-05,2015,January,Monday
377,South Carolina,2015-01-05,2015,January,Monday
378,Middle East,2015-01-05,2015,January,Monday
380,Kenya,2015-01-05,2015,January,Monday
381,Oklahoma,2015-01-05,2015,January,Monday
382,Hyattsville (Md),2015-01-05,2015,January,Monday
384,Nashville (Tenn),2015-01-05,2015,January,Monday
388,Cape Canaveral (Fla),2015-01-05,2015,January,Monday
390,Illinois,2015-01-05,2015,January,Monday
392,Florida,2015-01-05,2015,January,Monday
393,Florida,2015-01-05,2015,January,Monday
394,Baltimore (Md),2015-01-05,2015,January,Monday
397,Philadelphia (Pa),2015-01-05,2015,January,Monday
413,Silicon Valley (Calif),2015-01-05,2015,January,Monday
416,Hong Kong,2015-01-05,2015,January,Monday
418,Italy,2015-01-05,2015,January,Monday
420,Atlanta (Ga),2015-01-05,2015,January,Monday
421,United States,2015-01-05,2015,January,Monday
427,San Francisco (Calif),2015-01-05,2015,January,Monday
434,AMSTERDAM (NETHERLANDS),2015-01-05,2015,January,Monday
435,Dublin (Ireland),2015-01-05,2015,January,Monday
437,Silicon Valley (Calif),2015-01-05,2015,January,Monday
445,London (England),2015-01-05,2015,January,Monday
446,South Carolina,2015-01-05,2015,January,Monday
448,China,2015-01-06,2015,January,Tuesday
449,Charlottesville (Va),2015-01-06,2015,January,Tuesday
455,United States,2015-01-06,2015,January,Tuesday
460,Washington (State),2015-01-06,2015,January,Tuesday
466,Russia,2015-01-06,2015,January,Tuesday
468,Puerto Rico,2015-01-06,2015,January,Tuesday
472,Gilbert (Ariz),2015-01-06,2015,January,Tuesday
478,South Sudan,2015-01-06,2015,January,Tuesday
480,ALBUQUERQUE (NM),2015-01-06,2015,January,Tuesday
490,West Virginia,2015-01-06,2015,January,Tuesday
494,Oklahoma,2015-01-06,2015,January,Tuesday
495,China,2015-01-06,2015,January,Tuesday
496,France,2015-01-06,2015,January,Tuesday
501,Washington (DC),2015-01-06,2015,January,Tuesday
502,South Carolina,2015-01-06,2015,January,Tuesday
504,Great Britain,2015-01-06,2015,January,Tuesday
510,Aurora (Colo),2015-01-06,2015,January,Tuesday
514,United States,2015-01-06,2015,January,Tuesday
515,Yemen,2015-01-06,2015,January,Tuesday
517,United States,2015-01-06,2015,January,Tuesday
518,United States,2015-01-06,2015,January,Tuesday
522,Washington (DC),2015-01-06,2015,January,Tuesday
524,ALABAMA,2015-01-06,2015,January,Tuesday
