nid,glocation,country,state,latitude,longitude,pub_date,year,month,weekday
2,Louisiana,United States,Louisiana,30.9842977,-91.96233269999999,2015-01-01,2015,January,Thursday
3,United States,United States, ,37.09024,-95.712891,2015-01-01,2015,January,Thursday
5,Boston (Mass),United States,Massachusetts,42.3600825,-71.0588801,2015-01-01,2015,January,Thursday
6,Killeen (Tex),United States,Texas,31.1171194,-97.72779589999999,2015-01-01,2015,January,Thursday
11,"East Village (Manhattan, NY)",United States,New York,40.7264773,-73.98153370000001,2015-01-01,2015,January,Thursday
12,Naples (Fla),United States,Florida,26.1420358,-81.7948103,2015-01-01,2015,January,Thursday
13,Europe, , ,54.5259614,15.2551187,2015-01-01,2015,January,Thursday
17,Japan,Japan, ,36.204824,138.252924,2015-01-01,2015,January,Thursday
18,Dagestan (Russia),Russia,Republic of Dagestan,42.14318859999999,47.0949799,2015-01-01,2015,January,Thursday
21,Turkey,Turkey, ,38.963745,35.243322,2015-01-01,2015,January,Thursday
23,Las Cruces (NM),United States,New Mexico,32.3199396,-106.7636538,2015-01-01,2015,January,Thursday
24,Peachtree City (Ga),United States,Georgia,33.3968557,-84.59634319999999,2015-01-01,2015,January,Thursday
37,Virginia,United States,Virginia,37.4315734,-78.6568942,2015-01-01,2015,January,Thursday
39,Pennsylvania,United States,Pennsylvania,41.2033216,-77.1945247,2015-01-01,2015,January,Thursday
42,ANTARCTIC REGIONS,Antarctica, ,-75.250973,-0.071389,2015-01-01,2015,January,Thursday
55,New Zealand,New Zealand, ,-40.900557,174.885971,2015-01-01,2015,January,Thursday
60,Kentucky,United States,Kentucky,37.8393332,-84.2700179,2015-01-02,2015,January,Friday
61,Michigan,United States,Michigan,44.3148443,-85.60236429999999,2015-01-02,2015,January,Friday
62,Colorado,United States,Colorado,39.5500507,-105.7820674,2015-01-02,2015,January,Friday
76,Florida,United States,Florida,27.6648274,-81.5157535,2015-01-02,2015,January,Friday
89,Nebraska,United States,Nebraska,41.4925374,-99.9018131,2015-01-02,2015,January,Friday
99,Cape Canaveral (Fla),United States,Florida,28.3922182,-80.60771319999999,2015-01-02,2015,January,Friday
103,Vernon (Vt),United States,Vermont,42.7620271,-72.5134223,2015-01-02,2015,January,Friday
107,Las Vegas (Nev),United States,Nevada,36.1699412,-115.1398296,2015-01-02,2015,January,Friday
112,France,France, ,46.227638,2.213749,2015-01-02,2015,January,Friday
113,Gilbert (Ariz),United States,Arizona,33.3528264,-111.789027,2015-01-02,2015,January,Friday
128,Ferguson (Mo),United States,Missouri,38.7442175,-90.3053915,2015-01-02,2015,January,Friday
129,Quebec Province (Canada),Canada,Quebec,52.9399159,-73.5491361,2015-01-02,2015,January,Friday
135,Indonesia,Indonesia, ,-0.789275,113.921327,2015-01-02,2015,January,Friday
136,Iceland,Iceland, ,64.963051,-19.020835,2015-01-02,2015,January,Friday
138,Botswana,Botswana, ,-22.328474,24.684866,2015-01-02,2015,January,Friday
140,Cambridge (Mass),United States,Massachusetts,42.3736158,-71.10973349999999,2015-01-02,2015,January,Friday
143,Wisconsin,United States,Wisconsin,43.7844397,-88.7878678,2015-01-02,2015,January,Friday
146,California,United States,California,36.778261,-119.4179324,2015-01-02,2015,January,Friday
151,ARGENTINA,Argentina, ,-38.416097,-63.61667199999999,2015-01-02,2015,January,Friday
155,Illinois,United States,Illinois,40.6331249,-89.3985283,2015-01-02,2015,January,Friday
157,"Mission District (San Francisco, Calif)",United States,California,37.7598648,-122.4147977,2015-01-02,2015,January,Friday
161,Guantanamo Bay Naval Base (Cuba),Cuba, ,19.9030921,-75.0966509,2015-01-03,2015,January,Saturday
169,Great Britain,United Kingdom, ,53.8337367,-2.4290148,2015-01-03,2015,January,Saturday
174,Portugal,Portugal, ,39.39987199999999,-8.224454,2015-01-03,2015,January,Saturday
185,Worcester (Mass),United States,Massachusetts,42.2625932,-71.8022934,2015-01-03,2015,January,Saturday
199,Houston (Tex),United States,Texas,29.7604267,-95.3698028,2015-01-03,2015,January,Saturday
200,New York City,United States,New York,40.7127753,-74.0059728,2015-01-03,2015,January,Saturday
203,El Paso (Tex),United States,Texas,31.7618778,-106.4850217,2015-01-03,2015,January,Saturday
207,Atlanta (Ga),United States,Georgia,33.7489954,-84.3879824,2015-01-03,2015,January,Saturday
208,Moab (Utah),United States,Utah,38.5733155,-109.5498395,2015-01-03,2015,January,Saturday
212,Washington (DC),United States,District of Columbia,38.9071923,-77.0368707,2015-01-03,2015,January,Saturday
213,San Francisco (Calif),United States,California,37.7749295,-122.4194155,2015-01-03,2015,January,Saturday
219,Greece,Greece, ,39.074208,21.824312,2015-01-04,2015,January,Sunday
224,New England States (US),United States, ,43.9653889,-70.8226541,2015-01-04,2015,January,Sunday
225,South Carolina,United States,South Carolina,33.836081,-81.1637245,2015-01-04,2015,January,Sunday
243,Texas,United States,Texas,31.9685988,-99.9018131,2015-01-04,2015,January,Sunday
244,North Korea,North Korea, ,40.339852,127.510093,2015-01-04,2015,January,Sunday
247,China,China, ,35.86166,104.195397,2015-01-04,2015,January,Sunday
250,Nantucket Sound (Mass),United States,Massachusetts,41.664559,-70.28634,2015-01-04,2015,January,Sunday
251,Mississippi,United States,Mississippi,32.3546679,-89.3985283,2015-01-04,2015,January,Sunday
255,Massachusetts,United States,Massachusetts,42.4072107,-71.3824374,2015-01-04,2015,January,Sunday
260,Oklahoma,United States,Oklahoma,35.4675602,-97.5164276,2015-01-04,2015,January,Sunday
262,South Korea,South Korea, ,35.907757,127.766922,2015-01-04,2015,January,Sunday
268,Rhode Island,United States,Rhode Island,41.5800945,-71.4774291,2015-01-04,2015,January,Sunday
269,Hong Kong,Hong Kong, ,22.3193039,114.1693611,2015-01-04,2015,January,Sunday
271,Spain,Spain, ,40.46366700000001,-3.74922,2015-01-04,2015,January,Sunday
289,Vermont,United States,Vermont,44.5588028,-72.57784149999999,2015-01-05,2015,January,Monday
291,Detroit (Mich),United States,Michigan,42.331427,-83.0457538,2015-01-05,2015,January,Monday
293,London (England),United Kingdom,England,51.5073509,-0.1277583,2015-01-05,2015,January,Monday
296,Phoenix (Ariz),United States,Arizona,33.4483771,-112.0740373,2015-01-05,2015,January,Monday
301,Georgia,United States,Georgia,32.1656221,-82.9000751,2015-01-05,2015,January,Monday
304,Cleveland (Ohio),United States,Ohio,41.49932,-81.6943605,2015-01-05,2015,January,Monday
306,Liberia,Liberia, ,6.428055,-9.429499000000002,2015-01-05,2015,January,Monday
312,Ohio,United States,Ohio,40.4172871,-82.90712300000001,2015-01-05,2015,January,Monday
313,Kansas,United States,Kansas,39.011902,-98.4842465,2015-01-05,2015,January,Monday
314,Canada,Canada, ,56.130366,-106.346771,2015-01-05,2015,January,Monday
315,West Virginia,United States,West Virginia,38.5976262,-80.4549026,2015-01-05,2015,January,Monday
317,New York State,United States,New York,43.2994285,-74.21793260000001,2015-01-05,2015,January,Monday
319,Colorado Springs (Colo),United States,Colorado,38.8338816,-104.8213634,2015-01-05,2015,January,Monday
327,Bermuda,Bermuda, ,32.3078,-64.7505,2015-01-05,2015,January,Monday
344,Baltimore (Md),United States,Maryland,39.2903848,-76.6121893,2015-01-05,2015,January,Monday
354,Seattle (Wash),United States,Washington,47.6062095,-122.3320708,2015-01-05,2015,January,Monday
361,Tennessee,United States,Tennessee,35.5174913,-86.5804473,2015-01-05,2015,January,Monday
375,Hobbs (NM),United States,New Mexico,32.7026116,-103.1360403,2015-01-05,2015,January,Monday
378,Middle East, , ,29.2985278,42.5509603,2015-01-05,2015,January,Monday
380,Kenya,Kenya, ,-0.023559,37.906193,2015-01-05,2015,January,Monday
382,Hyattsville (Md),United States,Maryland,38.9559442,-76.9455301,2015-01-05,2015,January,Monday
384,Nashville (Tenn),United States,Tennessee,36.1626638,-86.7816016,2015-01-05,2015,January,Monday
397,Philadelphia (Pa),United States,Pennsylvania,39.9525839,-75.1652215,2015-01-05,2015,January,Monday
413,Silicon Valley (Calif),United States,California,37.387474,-122.0575434,2015-01-05,2015,January,Monday
418,Italy,Italy, ,41.87194,12.56738,2015-01-05,2015,January,Monday
434,AMSTERDAM (NETHERLANDS),Netherlands,North Holland,52.3675734,4.9041389,2015-01-05,2015,January,Monday
435,Dublin (Ireland),Ireland,County Dublin,53.3498053,-6.2603097,2015-01-05,2015,January,Monday
449,Charlottesville (Va),United States,Virginia,38.0293059,-78.47667810000002,2015-01-06,2015,January,Tuesday
460,Washington (State),United States,Washington,47.7510741,-120.7401385,2015-01-06,2015,January,Tuesday
466,Russia,Russia, ,61.52401,105.318756,2015-01-06,2015,January,Tuesday
468,Puerto Rico,Puerto Rico, ,18.220833,-66.590149,2015-01-06,2015,January,Tuesday
478,South Sudan,South Sudan, ,6.876991899999999,31.3069788,2015-01-06,2015,January,Tuesday
480,ALBUQUERQUE (NM),United States,New Mexico,35.0843859,-106.650422,2015-01-06,2015,January,Tuesday
510,Aurora (Colo),United States,Colorado,39.7294319,-104.8319195,2015-01-06,2015,January,Tuesday
515,Yemen,Yemen, ,15.552727,48.516388,2015-01-06,2015,January,Tuesday
524,ALABAMA,United States,Alabama,32.3182314,-86.902298,2015-01-06,2015,January,Tuesday
536,Brooklyn (NYC),United States,New York,40.6781784,-73.9441579,2015-01-06,2015,January,Tuesday
554,Paris (France),France,Île-de-France,48.856614,2.3522219,2015-01-06,2015,January,Tuesday
560,Switzerland,Switzerland, ,46.818188,8.227511999999999,2015-01-06,2015,January,Tuesday
578,New Jersey,United States,New Jersey,40.0583238,-74.4056612,2015-01-06,2015,January,Tuesday
581,Roswell (NM),United States,New Mexico,33.3942655,-104.5230242,2015-01-06,2015,January,Tuesday
585,Ector County (Tex),United States,Texas,31.8246483,-102.5298028,2015-01-06,2015,January,Tuesday
624,India,India, ,20.593684,78.96288,2015-01-07,2015,January,Wednesday
629,Germany,Germany, ,51.165691,10.451526,2015-01-07,2015,January,Wednesday
669,Malaysia,Malaysia, ,4.210484,101.975766,2015-01-07,2015,January,Wednesday
678,Iran,Iran, ,32.427908,53.688046,2015-01-07,2015,January,Wednesday
681,Durham (NC),United States,North Carolina,35.9940329,-78.898619,2015-01-07,2015,January,Wednesday
686,Luxembourg,Luxembourg, ,49.815273,6.129582999999999,2015-01-07,2015,January,Wednesday
698,Canary Islands,Spain,Canary Islands,28.2915637,-16.6291304,2015-01-07,2015,January,Wednesday
710,ARIZONA,United States,Arizona,34.0489281,-111.0937311,2015-01-07,2015,January,Wednesday
726,La Ciotat (France),France,Provence-Alpes-Côte d'Azur,43.17365299999999,5.605155,2015-01-07,2015,January,Wednesday
730,Cuba,Cuba, ,21.521757,-77.781167,2015-01-07,2015,January,Wednesday
743,Maine,United States,Maine,45.253783,-69.4454689,2015-01-08,2015,January,Thursday
745,West Hollywood (Calif),United States,California,34.0900091,-118.3617443,2015-01-08,2015,January,Thursday
756,Hawaii,United States,Hawaii,19.8967662,-155.5827818,2015-01-08,2015,January,Thursday
772,Delaware,United States,Delaware,38.9108325,-75.52766989999999,2015-01-08,2015,January,Thursday
789,Miami (Fla),United States,Florida,25.7616798,-80.1917902,2015-01-08,2015,January,Thursday
792,Boys Town (Neb),United States,Nebraska,41.2611099,-96.1319649,2015-01-08,2015,January,Thursday
803,Vail (Colo),United States,Colorado,39.6402638,-106.3741955,2015-01-08,2015,January,Thursday
806,Panama,Panama, ,8.537981,-80.782127,2015-01-08,2015,January,Thursday
807,Midland (Tex),United States,Texas,31.9973456,-102.0779146,2015-01-08,2015,January,Thursday
818,Columbia (SC),United States,South Carolina,34.0007104,-81.0348144,2015-01-08,2015,January,Thursday
823,Manhattan (NYC),United States,New York,40.7830603,-73.9712488,2015-01-08,2015,January,Thursday
830,Denmark,Denmark, ,56.26392,9.501785,2015-01-08,2015,January,Thursday
837,Davos (Switzerland),Switzerland,Grisons,46.8027453,9.835970099999999,2015-01-08,2015,January,Thursday
838,Sweden,Sweden, ,60.12816100000001,18.643501,2015-01-08,2015,January,Thursday
867,ARKANSAS,United States,Arkansas,35.20105,-91.8318334,2015-01-08,2015,January,Thursday
894,Montclair (NJ),United States,New Jersey,40.8259007,-74.2090053,2015-01-08,2015,January,Thursday
897,Montana,United States,Montana,46.8796822,-110.3625658,2015-01-08,2015,January,Thursday
900,Long Island (NY),United States,New York,40.789142,-73.13496099999999,2015-01-08,2015,January,Thursday
909,Owens Valley (Calif),United States,California,37.37354029999999,-118.3773316,2015-01-09,2015,January,Friday
914,Madeira (Portugal),Portugal,Madeira,32.76070740000001,-16.9594723,2015-01-09,2015,January,Friday
934,Israel,Israel, ,31.046051,34.851612,2015-01-09,2015,January,Friday
958,Moscow (Russia),Russia, ,55.755826,37.6172999,2015-01-09,2015,January,Friday
971,Orange County (Calif),United States,California,33.7174708,-117.8311428,2015-01-09,2015,January,Friday
980,AFRICA, , ,-8.783195,34.508523,2015-01-09,2015,January,Friday
990,Los Angeles (Calif),United States,California,34.0522342,-118.2436849,2015-01-09,2015,January,Friday
992,Boise (Idaho),United States,Idaho,43.6150186,-116.2023137,2015-01-09,2015,January,Friday
1036,Iowa,United States,Iowa,41.8780025,-93.097702,2015-01-09,2015,January,Friday
1037,Salt Lake City (Utah),United States,Utah,40.7607793,-111.8910474,2015-01-09,2015,January,Friday
1043,Nevada,United States,Nevada,38.8026097,-116.419389,2015-01-09,2015,January,Friday
1050,Saudi Arabia,Saudi Arabia, ,23.885942,45.079162,2015-01-09,2015,January,Friday
1083,Charleston (SC),United States,South Carolina,32.7764749,-79.93105120000001,2015-01-09,2015,January,Friday
1085,Fort Hood (Tex),United States,Texas,31.13633149999999,-97.7797049,2015-01-09,2015,January,Friday
1096,South Dakota,United States,South Dakota,43.9695148,-99.9018131,2015-01-10,2015,January,Saturday
1111,Belgium,Belgium, ,50.503887,4.469936,2015-01-10,2015,January,Saturday
1137,ALASKA,United States,Alaska,64.2008413,-149.4936733,2015-01-10,2015,January,Saturday
1142,New Mexico,United States,New Mexico,34.5199402,-105.8700901,2015-01-10,2015,January,Saturday
1143,Mojave Desert (Calif),United States,California,35.01099110000001,-115.4733551,2015-01-10,2015,January,Saturday
1158,Ireland, , ,53.1423672,-7.692053599999999,2015-01-10,2015,January,Saturday
1169,San Diego (Calif),United States,California,32.715738,-117.1610838,2015-01-11,2015,January,Sunday
1176,Utah,United States,Utah,39.3209801,-111.0937311,2015-01-11,2015,January,Sunday
1204,Ukraine,Ukraine, ,48.379433,31.1655799,2015-01-11,2015,January,Sunday
1211,Rock Hill (SC),United States,South Carolina,34.9248667,-81.02507840000001,2015-01-11,2015,January,Sunday
1215,ARCTIC NATIONAL WILDLIFE REFUGE,United States,Alaska,68.4313695,-143.6909925,2015-01-11,2015,January,Sunday
1216,Iraq,Iraq, ,33.223191,43.679291,2015-01-11,2015,January,Sunday
1219,Atlantic Ocean, , ,-14.5994134,-28.6731465,2015-01-11,2015,January,Sunday
1230,Nantucket (Mass),United States,Massachusetts,41.2834704,-70.099451,2015-01-12,2015,January,Monday
1231,"Red Hook (Brooklyn, NY)",United States,New York,40.6733676,-74.00831889999999,2015-01-12,2015,January,Monday
1265,Indiana,United States,Indiana,40.2671941,-86.1349019,2015-01-12,2015,January,Monday
1271,Singapore,Singapore, ,1.352083,103.819836,2015-01-12,2015,January,Monday
1331,Palo Alto (Calif),United States,California,37.4418834,-122.1430195,2015-01-12,2015,January,Monday
1332,Gulf of Mexico, , ,25.304304,-90.065918,2015-01-12,2015,January,Monday
1358,Hyannis (Mass),United States,Massachusetts,41.6524911,-70.2881124,2015-01-12,2015,January,Monday
1421,Poland,Poland, ,51.919438,19.145136,2015-01-12,2015,January,Monday
1428,Somerville (Mass),United States,Massachusetts,42.3875968,-71.0994968,2015-01-12,2015,January,Monday
1445,Chicago (Ill),United States,Illinois,41.8781136,-87.6297982,2015-01-12,2015,January,Monday
1454,Fort Worth (Tex),United States,Texas,32.7554883,-97.3307658,2015-01-13,2015,January,Tuesday
1456,San Geronimo (Calif),United States,California,38.0132562,-122.6638731,2015-01-13,2015,January,Tuesday
1478,Beijing (China),China,Beijing,39.90419989999999,116.4073963,2015-01-13,2015,January,Tuesday
1492,Zurich (Switzerland),Switzerland,Zurich,47.3768866,8.541694,2015-01-13,2015,January,Tuesday
1538,Greenland,Greenland, ,71.706936,-42.604303,2015-01-13,2015,January,Tuesday
1549,Wyoming,United States,Wyoming,43.0759678,-107.2902839,2015-01-13,2015,January,Tuesday
1577,Australia,Australia, ,-25.274398,133.775136,2015-01-13,2015,January,Tuesday
1580,North Sea, , ,56.511018,3.515625,2015-01-13,2015,January,Tuesday
1582,Brussels (Belgium),Belgium,Brussels,50.8503396,4.3517103,2015-01-13,2015,January,Tuesday
1602,Wilmington (Del),United States,Delaware,39.744655,-75.5483909,2015-01-13,2015,January,Tuesday
1611,Pasadena (Calif),United States,California,34.1477849,-118.1445155,2015-01-13,2015,January,Tuesday
1617,Syria,Syria, ,34.80207499999999,38.996815,2015-01-13,2015,January,Tuesday
1623,Lake Superior, , ,47.723087,-86.940716,2015-01-14,2015,January,Wednesday
1662,Cambodia,Cambodia, ,12.565679,104.990963,2015-01-14,2015,January,Wednesday
1668,Toronto (Ontario),Canada,Ontario,43.653226,-79.3831843,2015-01-14,2015,January,Wednesday
1731,Montgomery (Ala),United States,Alabama,32.3792233,-86.3077368,2015-01-14,2015,January,Wednesday
1753,Frankfurt (Germany),Germany,Hessen,50.1109221,8.6821267,2015-01-14,2015,January,Wednesday
1799,Brazil,Brazil, ,-14.235004,-51.92528,2015-01-14,2015,January,Wednesday
1809,Indianapolis (Ind),United States,Indiana,39.768403,-86.158068,2015-01-14,2015,January,Wednesday
1825,Maryland,United States,Maryland,39.0457549,-76.64127119999999,2015-01-14,2015,January,Wednesday
1828,Malibu (Calif),United States,California,34.0259216,-118.7797571,2015-01-14,2015,January,Wednesday
1847,Vietnam,Vietnam, ,14.058324,108.277199,2015-01-14,2015,January,Wednesday
1853,Jennings (Mo),United States,Missouri,38.7192175,-90.26039030000001,2015-01-14,2015,January,Wednesday
1857,ANCHORAGE (ALASKA),United States,Alaska,61.2180556,-149.9002778,2015-01-14,2015,January,Wednesday
1906,East Coast (US),United States, ,62.4113634,-149.0729714,2015-01-15,2015,January,Thursday
1909,Delhi (India),India,Delhi,28.7040592,77.10249019999999,2015-01-15,2015,January,Thursday
1936,St Louis (Mo),United States,Missouri,38.6270025,-90.19940419999999,2015-01-15,2015,January,Thursday
1952,"Chelsea (Manhattan, NY)",United States,New York,40.7465004,-74.00137370000002,2015-01-15,2015,January,Thursday
1973,Oaxaca (Mexico),Mexico,Oaxaca,17.0731842,-96.7265889,2015-01-15,2015,January,Thursday
1983,Missouri,United States,Missouri,37.9642529,-91.8318334,2015-01-15,2015,January,Thursday
1993,Chapel Hill (NC),United States,North Carolina,35.9131996,-79.0558445,2015-01-15,2015,January,Thursday
2000,Stephenville (Tex),United States,Texas,32.2206958,-98.2022633,2015-01-15,2015,January,Thursday
2007,North Carolina,United States,North Carolina,35.7595731,-79.01929969999999,2015-01-15,2015,January,Thursday
2008,Yarnell (Ariz),United States,Arizona,34.2216927,-112.7474007,2015-01-15,2015,January,Thursday
2021,Oregon,United States,Oregon,43.8041334,-120.5542012,2015-01-15,2015,January,Thursday
2034,Kansas City (Kan),United States,Kansas,39.11553139999999,-94.62678729999999,2015-01-16,2015,January,Friday
2069,Columbus (Ohio),United States,Ohio,39.9611755,-82.99879419999999,2015-01-16,2015,January,Friday
2091,Copenhagen (Denmark),Denmark, ,55.6760968,12.5683372,2015-01-16,2015,January,Friday
2109,Pasco (Wash),United States,Washington,46.2305049,-119.0922316,2015-01-16,2015,January,Friday
2133,Caribbean Area, , ,21.4691137,-78.6568942,2015-01-16,2015,January,Friday
2140,Beverly Hills (Calif),United States,California,34.0736204,-118.4003563,2015-01-16,2015,January,Friday
2181,San Joaquin-Sacramento River Delta (Calif),United States,California,38.0679749,-121.8427354,2015-01-16,2015,January,Friday
2184,Mexico,Mexico, ,23.634501,-102.552784,2015-01-16,2015,January,Friday
2204,North Dakota,United States,North Dakota,47.5514926,-101.0020119,2015-01-17,2015,January,Saturday
2223,Netherlands,Netherlands, ,52.132633,5.291265999999999,2015-01-17,2015,January,Saturday
2231,Cremona (Italy),Italy,Lombardy,45.133249,10.0226511,2015-01-17,2015,January,Saturday
2252,"Far East, South and Southeast Asia and Pacific Areas", , ,-2.2179704,115.66283,2015-01-17,2015,January,Saturday
2272,Sentosa Cove (Singapore),Singapore, ,1.2448186,103.8410583,2015-01-18,2015,January,Sunday
2327,Bangladesh,Bangladesh, ,23.684994,90.356331,2015-01-19,2015,January,Monday
2344,Pittsburgh (Pa),United States,Pennsylvania,40.44062479999999,-79.9958864,2015-01-19,2015,January,Monday
2365,Key West (Fla),United States,Florida,24.5550593,-81.7799871,2015-01-19,2015,January,Monday
2379,United Arab Emirates,United Arab Emirates, ,23.424076,53.847818,2015-01-19,2015,January,Monday
2390,Austria,Austria, ,47.516231,14.550072,2015-01-19,2015,January,Monday
2391,Bakken Shale Field (ND),United States,Montana,47.9200496,-104.8017491,2015-01-19,2015,January,Monday
2409,Northern Ireland,United Kingdom,Northern Ireland,54.7877149,-6.4923145,2015-01-19,2015,January,Monday
2496,Minneapolis (Minn),United States,Minnesota,44.977753,-93.2650108,2015-01-20,2015,January,Tuesday
2512,El Salvador,El Salvador, ,13.794185,-88.89653,2015-01-20,2015,January,Tuesday
2529,Nova Scotia (Canada),Canada,Nova Scotia,44.68198659999999,-63.744311,2015-01-20,2015,January,Tuesday
2563,AFGHANISTAN,Afghanistan, ,33.93911,67.709953,2015-01-20,2015,January,Tuesday
2572,Falkland Islands,Falkland Islands (Islas Malvinas), ,-51.796253,-59.523613,2015-01-20,2015,January,Tuesday
2586,Cincinnati (Ohio),United States,Ohio,39.1031182,-84.5120196,2015-01-20,2015,January,Tuesday
2590,Oxnard (Calif),United States,California,34.1975048,-119.1770516,2015-01-20,2015,January,Tuesday
2598,Sanford (Fla),United States,Florida,28.8028612,-81.269453,2015-01-20,2015,January,Tuesday
2647,Palm Springs (Calif),United States,California,33.8302961,-116.5452921,2015-01-20,2015,January,Tuesday
2676,South Africa,South Africa, ,-30.559482,22.937506,2015-01-21,2015,January,Wednesday
